PRCL,NPRO,n_punct,title_len
1.0,3.0,17,10
3.0,3.0,15,11
3.0,3.0,0,11
1.0,3.0,15,12
3.0,7.0,17,7
4.0,3.0,12,9
2.0,10.0,14,9
18.0,11.0,91,8
1.0,3.0,7,10
11.0,10.0,9,10
5.0,4.0,14,9
3.0,3.0,17,12
11.0,11.0,24,9
5.0,10.0,22,9
3.0,3.0,14,9
1.0,4.0,31,11
3.0,1.0,33,9
6.0,5.0,14,8
1.0,3.0,18,8
3.0,4.0,37,8
5.0,2.0,19,15
8.0,4.0,21,12
3.0,3.0,6,12
1.0,2.0,34,12
3.0,1.0,14,11
5.0,2.0,41,11
9.0,9.0,29,8
10.0,7.0,32,7
3.0,3.0,4,10
4.0,6.0,15,7
3.0,3.0,48,8
43.0,39.0,63,12
5.0,5.0,36,11
3.0,5.0,17,12
1.0,5.0,28,9
5.0,3.0,13,10
4.0,2.0,36,8
6.0,8.0,26,9
2.0,1.0,24,8
1.0,5.0,15,7
6.0,4.0,37,7
8.0,17.0,27,10
3.0,4.0,11,10
3.0,3.0,23,12
8.0,2.0,32,8
2.0,2.0,7,9
6.0,9.0,47,7
2.0,3.0,10,9
1.0,3.0,46,11
3.0,6.0,19,8
1.0,1.0,8,7
3.0,4.0,15,7
2.0,3.0,10,9
3.0,3.0,23,9
3.0,3.0,4,10
3.0,3.0,13,11
4.0,3.0,33,10
3.0,1.0,8,11
3.0,1.0,24,11
6.0,3.0,19,9
3.0,3.0,17,8
7.0,4.0,17,11
6.0,3.0,20,8
1.0,1.0,17,9
6.0,10.0,13,12
1.0,3.0,15,10
9.0,6.0,56,8
3.0,2.0,9,9
7.0,6.0,13,8
3.0,1.0,8,10
1.0,3.0,13,10
3.0,13.0,15,9
34.0,17.0,54,6
6.0,3.0,24,11
3.0,1.0,12,11
2.0,11.0,23,8
3.0,3.0,4,8
4.0,2.0,6,9
3.0,3.0,9,8
16.0,11.0,30,9
5.0,1.0,17,8
61.0,15.0,68,7
3.0,1.0,10,10
3.0,1.0,6,6
5.0,5.0,22,10
3.0,1.0,5,11
3.0,3.0,18,8
3.0,3.0,7,8
1.0,2.0,14,11
1.0,3.0,18,9
9.0,4.0,15,11
2.0,3.0,25,9
7.0,8.0,22,14
4.0,2.0,20,8
25.0,23.0,81,11
3.0,1.0,13,9
1.0,3.0,16,12
1.0,4.0,15,11
1.0,3.0,43,5
3.0,3.0,16,7
1.0,4.0,32,14
3.0,1.0,18,8
9.0,9.0,27,9
3.0,2.0,8,9
12.0,6.0,13,11
1.0,1.0,43,10
1.0,1.0,7,8
2.0,8.0,11,11
3.0,3.0,19,8
3.0,10.0,17,7
10.0,10.0,44,9
2.0,3.0,10,10
8.0,8.0,21,12
2.0,2.0,62,4
3.0,3.0,19,15
1.0,1.0,21,9
2.0,1.0,10,11
17.0,21.0,60,7
1.0,2.0,9,8
3.0,2.0,6,11
1.0,3.0,7,9
3.0,1.0,11,12
3.0,1.0,13,7
2.0,1.0,12,8
2.0,3.0,29,9
2.0,2.0,21,12
3.0,3.0,15,13
2.0,3.0,12,7
6.0,11.0,26,10
2.0,3.0,15,8
1.0,3.0,17,5
3.0,2.0,23,7
6.0,4.0,7,10
3.0,3.0,13,8
1.0,1.0,32,10
6.0,3.0,20,9
4.0,3.0,13,12
2.0,3.0,14,13
5.0,4.0,15,10
2.0,3.0,5,9
3.0,7.0,10,10
4.0,2.0,23,9
3.0,1.0,7,8
3.0,2.0,15,12
6.0,7.0,15,9
3.0,3.0,13,10
1.0,3.0,37,10
3.0,11.0,16,6
4.0,7.0,22,11
3.0,1.0,16,9
1.0,2.0,9,9
5.0,15.0,459,10
24.0,24.0,98,10
2.0,1.0,13,9
10.0,5.0,12,9
1.0,3.0,33,6
8.0,4.0,13,13
2.0,2.0,15,10
4.0,5.0,25,9
1.0,2.0,5,6
1.0,3.0,13,7
